DBMS,Rank_Jul-2024,Rank_Jun-2024,Rank_Jul-2023,Database Model,Score_Jul-2024,Score_Jun-2024,Score_Jul-2023,DBMS_insitelink,Multi_model_info,Developer,Description,Initial release,Current release,License,License_info,Cloud-based only,initial_release_recalc,current_release_recalc,license_recalc,cloud_based_only_recalc
ReductStore,378.0,384.0,,Time Series,0.0,-0.05,,https://db-engines.com/en/system/ReductStore,,ReductStore LLC,"Designed to manage unstructured time-series data efficiently, providing unique features such as storing time-stamped blobs with labels, customizable data retention policies, and a straightforward FIFO quota system.",2023.0,"1.9, March 2024",Open Source,Business Source License 1.1,no,2023,2024,Y,N
Rizhiyi,378.0,402.0,405.0,"Search engine, Multi-model",0.0,±0.00,±0.00,https://db-engines.com/en/system/Rizhiyi,"Search engine,Time Series DBMS",Rizhiyi,"Used for unified collecting, indexing, and searching of log file data",2014.0,,commercial,,no,2014,,N,N
Sadas Engine,378.0,373.0,405.0,Relational,0.0,-0.07,±0.00,https://db-engines.com/en/system/Sadas+Engine,,SADAS s.r.l.,SADAS Engine is a columnar DBMS specifically designed for high performance in data warehouse environments,2006.0,8.0,commercial,free trial version available,no,2006,,N,N
searchxml,378.0,390.0,405.0,Multi-model,0.0,-0.03,±0.00,https://db-engines.com/en/system/searchxml,"Native XML DBMS,Search engine",informationpartners gmbh,DBMS for structured and unstructured content wrapped with an application server,2015.0,1.0,commercial,,no,2015,,N,N
SiriDB,378.0,378.0,367.0,Time Series,0.0,-0.07,-0.17,https://db-engines.com/en/system/SiriDB,,Cesbit,"Open Source,Time Series DBMS",2017.0,,Open Source,MIT License,no,2017,,Y,N
SpaceTime,378.0,392.0,405.0,"Spatial, Multi-model",0.0,-0.03,±0.00,https://db-engines.com/en/system/SpaceTime,"Spatial DBMS,Relational DBMS",Mireo,SpaceTime is a spatio-temporal DBMS with a focus on performance.,2020.0,,commercial,,no,2020,,N,N
TerarkDB,378.0,367.0,371.0,Key-value,0.0,-0.08,-0.14,https://db-engines.com/en/system/TerarkDB,,"ByteDance, originally Terark","A,key-value store,forked from,RocksDB,with advanced compression algorithms. It can be used standalone or as a storage engine for,MySQL,and,MongoDB",2016.0,,commercial,restricted open source version available,no,2016,,N,N
Tkrzw,378.0,372.0,405.0,Key-value,0.0,-0.07,±0.00,https://db-engines.com/en/system/Tkrzw,,Mikio Hirabayashi,"A concept of libraries, allowing an application program to store and query key-value pairs in a file. Successor of,Tokyo Cabinet,and,Kyoto Cabinet",2020.0,"0.9.3, August 2020",Open Source,Apache Version 2.0,no,2020,2020,Y,N
TomP2P,378.0,402.0,343.0,Key-value,0.0,±0.00,-0.25,https://db-engines.com/en/system/TomP2P,,,Distributed Key-Value store,2004.0,4.4,Open Source,Apache Version 2,no,2004,,Y,N
Transwarp ArgoDB,378.0,348.0,394.0,"Relational, Multi-model",0.0,-0.12,-0.03,https://db-engines.com/en/system/Transwarp+ArgoDB,"Relational DBMS,Search engine",Transwarp,Distributed Analytical Database to replace Hadoop+MPP hybrid architecture,,,commercial,,no,,,N,N
Transwarp Hippo,378.0,386.0,,Vector,0.0,-0.05,,https://db-engines.com/en/system/Transwarp+Hippo,,,"Cloud-native distributed,Vector DBMS,that supports storage, retrieval, and management of massive vector-based datasets",2023.0,"1.0, May 2023",commercial,,no,2023,2023,N,N
Transwarp KunDB,378.0,341.0,386.0,Relational,0.0,-0.14,-0.10,https://db-engines.com/en/system/Transwarp+KunDB,,Transwarp,"OLTP DBMS based on a distributed architecture and highly compatible with,MySQL,and,Oracle",,,commercial,,no,,,N,N
Transwarp StellarDB,378.0,371.0,405.0,Graph,0.0,-0.07,±0.00,https://db-engines.com/en/system/Transwarp+StellarDB,,Transwarp,A distributed graph DBMS built for enterprise-level graph applications,,,commercial,,no,,,N,N
Upscaledb,378.0,402.0,333.0,Key-value,0.0,±0.00,-0.29,https://db-engines.com/en/system/Upscaledb,,,"An embedded,key-value store,with SQL-style analytical functions",2007.0,,Open Source,Apache Version 2,no,2007,,Y,N
VelocityDB,378.0,354.0,382.0,Multi-model,0.0,-0.11,-0.12,https://db-engines.com/en/system/VelocityDB,"Graph DBMS,Object oriented DBMS",VelocityDB Inc,A .NET Object Database that can be embedded/distributed and extended to a graph data model (VelocityGraph),2011.0,7.x,commercial,,no,2011,,N,N
WhiteDB,378.0,402.0,372.0,Document,0.0,±0.00,-0.14,https://db-engines.com/en/system/WhiteDB,,,,2008.0,,Open Source,GPL V3,no,2008,,Y,N
